Column,Description ,Responses
Painting_index,Painting index in the dataframe,Numeric
Artist,The name of the artist,Character 
Painting_name,Name of the painting,Character 
Estimated_price,The estimated price of the painting,Numeric
Year,The year that the painting was created,Numeric
Time_period ,The general time frame of when the painting was created: ,Character (factor variable)
Materials,The type of paint and type of canvas,Character
Dimensions ,The length and width of the painting ,Character
Area,The area of the painting,Numeric
Image URL,The url where the image can be found,Character
Image_name ,The name of the image,Character
